Star,review_title,text_review,apps_category,review_length
2.0 out of 5 stars,Not enough progress to maintain it as a central tool,"I have a FIOS connection and I can have full bars on the signal and there is always a problem. Always. No matter the time of day. Frozen screens, scattered audio, a lack of synching. Add more than one attendee and it gets very unreliable. With a lot of overseas activity, I have had it for a long time but the point that most stays with me is that it hasn't improved at all over the last 6-7 years. More strides should have been taken by now. As a result, I use it only when the other party has it as a preferred option. Otherwise, I use other apps that do the same thing, only better.",communication,116
1.0 out of 5 stars,Upsetting.,"....The app worked fine before the update with only a glitch or two. Now it crashes my kindle, has volume issues, turns the camera off and drops the call every few minutes. I do not enjoy bug testing a product after its been released. Re release the old version please.",communication,50
3.0 out of 5 stars,Not gonna put a bad rating but...,I'm not putting a bad rating because it's still good but it has plenty of bugs such as listed by other reviews. One thing I will state is that the instant messaging thing always says pending... even if I have perfect internet connection... just wait to get it until they fix everything... 😤,communication,53
2.0 out of 5 stars,Was a good tool back when it was independent,Was a good tool back when it was independent.  Now touched by Microsoft... No way of combining accounts. A bizarre way of misleading you into  setting up multiple accounts because of Ofice 365... Once only use of Passwords!!!!  Ridiculous really! Microsoft really need to wake up and smell the roses.. Whatsapp is crucifying them..,communication,54
1.0 out of 5 stars,Buggy,"It's been what, a decade? Microsoft still hasn't released a single version of Skype that isn't excruciatingly painful to use due to either stupid design decisions or being buggy. This version refuses to show me any recent chats in the recent chats panel. Just shows the one that's currently open. Sometimes it works, sometimes it doesn't. Sometimes it doesn't allow me to answer a call while it's ringing on my other devices, even when messages go through just fine.TL;DR it's a mess, like usual for Skype.",communication,86
1.0 out of 5 stars,Skype on Kindle no longer works,"Since updating to the latest version of this app (Oct 2017) I can't receive calls on my Kindle Fire HD.  Inbound calls don't ring or appear on screen.  I can call out to another device AS LONG AS IT ISN'T ANOTHER KINDLE because those calls don't ring on my contacts' Kindles, either. After the fact the app on the Kindle shows a ""missed call"" as if it had rung and you just didn't answer the call.  Basically, if you are using a kindle, you can now make calls to non-kindle devices but you can not receive a call from any device of any kind.  The text chat feature works, so at least that's something...",communication,114
2.0 out of 5 stars,Poor quality,"First app used on the brand new Kindle Fire HD. Connected without a problem, but the picture quality was very poor, the voice transmission was spotty at best and the call couldn't stay connected. Was it our Wifi? Well, we disconnected the Skype call and dialed up via Facetime and had no problems at all. I'd say it was the Skype.",communication,61
2.0 out of 5 stars,Don't bother unless you have a real need to use it.,"Works well.  I don't like getting all these ""Bride Wanna bes"" from foreign countries constantly wanting to chat.  I blocked all communications with non-contacts which worked pretty well, but they can still squeeze in via my telephone number.  Bottom line unless you have a real need to communicate with your children or loved one, it isn't worth fooling with it.  I still have it on my PC, but shut it down completely(removed my phone number) until I have a need.Texting with my children is working just fine. They will text but they won't make a call on the phone (cell or landline)..lol",communication,102
3.0 out of 5 stars,frustrating,"Tried to use this to tall with family overseas. Absolutely terrible. The video quality is okay. But the audio both ways is garbage. I can't hear audio coming in. They can't hear it on their end, even with the volume turned all the way up. Disappointing to say the least.",communication,50
2.0 out of 5 stars,Don't bother unless you have a real need to use it.,"Works well.  I don't like getting all these ""Bride Wanna bes"" from foreign countries constantly wanting to chat.  I blocked all communications with non-contacts which worked pretty well, but they can still squeeze in via my telephone number.  Bottom line unless you have a real need to communicate with your children or loved one, it isn't worth fooling with it.  I still have it on my PC, but shut it down completely(removed my phone number) until I have a need.Texting with my children is working just fine. They will text but they won't make a call on the phone (cell or landline)..lol",communication,102
3.0 out of 5 stars,glitches,"I got this app a while ago, but since the last update, whenever I got a call it would just end the call and glitch. It would also freeze my face and the person I was talking to face. If the app would stop the glitch, the I would have given five stars.",communication,53
1.0 out of 5 stars,Downloaded and couldn't get past &#34;make an account&#34;,"I downloaded this app and never got past entering a name on the first page. Most of the time it would shut down on the main page before I could even open it. I understand it's free and all, but I've got to be able to open it without it crashing. Very disappointed!",communication,53
2.0 out of 5 stars,Works...barely,"The program works, but that is the best I can say about it. Aside from basic tasks, the program does not seem optimized for the Kindle. For example, I gave up after four tries to reset my password. The keypad covers most of the screen and it is too easy to make mistakes. I will keep the app but make admin changes on a different device.",communication,66
2.0 out of 5 stars,Scam App,Carrying conversations will this app doesn't continue on other devices. It constantly delete conversations on it as well. The other day I did many surveys in which they were suppose to give me 43 credits and double them to 86 credits for taking the survey. I did not receive a single credit and have been getting at least six or more calls a day from marketers everywhere. I have also received hundreds upon hundreds of spam mail. When I unsubscribe from each site it has a snowball affect and I get even more junk mail. Great app for SPAM and nothing more. I should have read the small print!!!!,communication,109
1.0 out of 5 stars,Won't stop crashing,"In the middle of all my video chats, Skype will randomly crash and go back to the main page. After it crashes and I bring it back up, I can't make calls or answer calls without it crashing again. I always have to reset my kindle. It seems to work for a little bit, sometimes only a few seconds into a video chat, but it always crashes. I have very little way to contact people back home and this is the only way get to see them for months that I am away so I would really appreciate if all the s*** that is wrong with the app would be fixed.",communication,111
1.0 out of 5 stars,I can't get it to work or find any help!,"This doesn't work on my Kindle Fire 7 and I can't seem to get any help with it. It shows all my contacts, but when i attempt even a Skype Test Call, it says there's a problem making the call and to try again later. I have uninstalled & reinstalled, rebooted, but nothing seems to work. Skype's "" help"" consists of a robot that doesn't understand the problem and simply directs me to articles about poor sound  quality. I don't have poor sound quality, just no calls at all.",communication,89
1.0 out of 5 stars,Couldn't get in,"I got to set up and then it sent a code -- BUT I ONLY HAVE A LANDLINE -- so I got no code and I deleted this the same night.  Don't these companies realize that NOT EVERYONE can afford a smart phone?  ALL I HAVE is the landline.  On gov't assist they give you a free phone for emergency but it doesn't really have anything else I can use except for the camera - they turned everything off except for making/receiving calls.  The stuff is in there, but off.",communication,90
1.0 out of 5 stars,Really,"It would not let me log in. It said:"" Unable to connect to Skype"""" please check your mobile settings,then try again"" my mobile settings are fine for Skype, but it still would not let me sign up. Unless someone can fix this problem, my rating is low, it would be zero stars if I could do that but I can't.",communication,60
1.0 out of 5 stars,Video chat not possible between fire 8 hds.,I have two brand new fire hd 8 tablets with updated software and updated skype app. It indicates with a green check that the tablets are linked and messaging is possible. But it will not transmit a voice or video call. Just keeps stating missed call after a few minutes of trying to connect. I was able to videocall between my iPhone and tablet. But even with excellent high speed internet the connection was grainy and choppy at best.  Customer service does not exist for this worthless app.,communication,88
2.0 out of 5 stars,..,so I'm sick today and my account got removed because I haven't been on it...now I can't call my mom and tell her something it's honestly horrible to get rid of a account if you haven't been on it ! Other then that it's okay..but please you should really change that,communication,51
1.0 out of 5 stars,This app sucks!!!!!!!!,"If someone calls you that isn't in your contacts you can't listen to the voice mail.  This app sucks! Also, since the last update I have a hard time hearing what the caller is saying.  I use Skype on my iPad too and it sucks even worse!!! The caller can barely hear what I'm saying.  Skype worked really great until Microsoft bought them out.  It's been really bad since then!!",communication,70
1.0 out of 5 stars,This app sucks,"Sorry for those who love this app but for me, it gave my kindle fire hd a virus. Now my kindle shuts off every 2 minutes. Like really? This app needs fixed and fast. Please fix this app. And maybe why your at it, pay for my kindle to get fixed.",communication,51
1.0 out of 5 stars,omg horrible,"All it does is lag out. It lags out when u go on the internet. And sometimes I can't even hear my friend. I will be typing something, and my friend calls me, I have to start over on my massage!!!!!!! Dislike!!!!!! if I could give it 0 stars I would!!!!!!!😡😡😡😡😡😡😡",communication,51
2.0 out of 5 stars,Not Good,I downloaded Skype with the expectation that It was a good video calling app. Guess what? It is NOT. I had no problem with anything except for this major flag on the play: There is a glitch where you will be stuck on a screen and Skype will just shut down.,communication,51
1.0 out of 5 stars,"Bad App, Not Free, Slow","It is very low quality. Barely does what I need it to do. The calls are always cutting out, no video call, and it's very laggy. When I text, it goes through 10 minutes later, it can only receive 1 image at once, and it's just awful. If you're looking for a texting app, I recommend text now, although Amazon doesn't have it. The ""free"" is a total scam. There are constant ads you can't get rid of, and I'm not gonna spend $5.99 a week to avoid them! It offers so many purchases and constantly sends bot messages. I'm not gonna pay tons of money just to get a semi-functional app. Don't get this.",communication,115
2.0 out of 5 stars,Wish these sort of apps would b so simple to get into.,"Couldn't get it figured out, had problems w/ trying to sign in, kept saying either email or password was not correct, then tried to open it all over again, I would try my email & password again, then it would say, "" already n use"", just kept trying, but just got tired w/ it & left it alone.",communication,58
1.0 out of 5 stars,Update also ruined it for me as well.,"Update also ruined it for me as well. Bought Kindle Fire HD with Skype pre-loaded, now, with the new app update, old app not loading and the update fails all the time. This effectively makes Skype app unusable. What is worse I sent the tablet oversees for my mom to use and she now is unable to use video to communicate, back to phone.",communication,64
1.0 out of 5 stars,Couldn't get in,"I got to set up and then it sent a code -- BUT I ONLY HAVE A LANDLINE -- so I got no code and I deleted this the same night.  Don't these companies realize that NOT EVERYONE can afford a smart phone?  ALL I HAVE is the landline.  On gov't assist they give you a free phone for emergency but it doesn't really have anything else I can use except for the camera - they turned everything off except for making/receiving calls.  The stuff is in there, but off.",communication,90
1.0 out of 5 stars,Most glitchy App ever,For such a popular program you would think they'd have th  money to higher a decent programmer. This app is garbage. About half the time it won't let me go online unless I call someone. If you are  on a group call on you're computer and log off and call one person from the group back on the kindle it will call the whole group back even though it shows you are only calling the one person. It also crashes a lot and tends to just sign off in the middle  of calls which is frustrating cause it's hard to get back on with out crashing. Also if someone calls you while you are working on something it will close that program and delete your progress. To much stress for what it's worth.,communication,133
1.0 out of 5 stars,Needs to work better...,Well I went to use Skype one day and it keeps saying I can't sign in check your connection of course I did (note this is with the old steady style version) and it doesn't work so I change Internet networks and it does the same I don't know if the old skype is no longer compatable but I am NOT updating it after reading all the bad reviews so please come out with a better version,communication,77
5.0 out of 5 stars,Italian course Rosetta,"a free trial made me check on this way of learning Italian. I have been studying books, tapes etc for several years. This was fun, available when I only had a few minutes, and delivered a nice ""game"" way to recall what was taught . My only objection was the price if I order the full course. VERY expensive so..I ma done after 30 minutes",education,65
5.0 out of 5 stars,If you enjoy good quality thoughtful discussions on different subject matters please ...,"If you listen to TED talks on the radio on PBS you can now see the people who are the Speakers of these talks on various subject matters. There are thousands of videos to choose from, which I have spent several hours viewing after DL this App to my Kindle Fire Device. If you enjoy good quality thoughtful discussions on different subject matters please DL this App you will be glad you did. I find myself watching more Fire TV Prime material since I purchased it than regular network TV.",education,90
4.0 out of 5 stars,Amazing,"This app is amazing I just started it today and it is easy,secure,and choice filled. Any when I say it is easy that means it is easy to help you and when I say it is secure I mean know one will get into it because it has a password also when I say it is choice filled I say that because there are sooo many choices for example they have French Dutch Spanish Turkish So what I'm trying to say is I hope you choose this app😉",education,88
3.0 out of 5 stars,and I believe you would have a far better product.,"In my humble opinion, it does not offer enough modern foreign languages that are accessible to native English speakers. While there are a number of approaches to English from other languages, there are few offered to those of us whose mother tongue is English.  I would suggest you add other modern foreign languages, and I believe you would have a far better product.",education,63
5.0 out of 5 stars,Works great on Kindle Fire HD,"If you already have a Rosetta Stone subscription, just sign in and continue your lessons. No issues on the Kindle Fire HD. Works wonderfully.If you do not, then this app is not for you. It will only let you try a sample lesson.So bear that in mind before downloading.But for what it's meant to be, it does well.",education,58
3.0 out of 5 stars,Mixed,"Biggest issue I have with it isn't so much that I have trouble learning the languages (I don't), it's that it gives no platform or basis to draw from.  For example, I took three years of HS German and did a study abroad in Germany.  My German isn't good, mostly bar talk and what not.  So yeah, I have a basis to draw from and can ""test out"" of certain sections, but if I didn't know the difference between I, you, he, she, it, we, you, and they, I'd have trouble with conjugation with no help and I see this when trying the Spanish on here (I took none, and my vocab is limited to Taco Bell and Sesame Street).  It doesn't try to teach you the language so much as add a few words and repetition to what you already have.  Will I continue to use it?  yeah, cause I haven't found anything really good to help as an option.  Will I recommend this to learn a language? No.",education,170
5.0 out of 5 stars,"It works with Kindle Fire HD 7"" when earbuds and mike are plugged in.","When I installed this Rosetta Course app, I couldn't get it to work.It would only half load the language I selected and then stop working (with no message to indicate there was a problem).But when earbuds and microphone (3.5mm adapter) are plugged in, the Rosetta Course began to work.The app requires that speakers and a microphone are plugged in and working.I've only just run the first part of the free course they offered, but the Rosetta Course app seems to be very easy to use.Of course, the free course is only going to take you so far.  But it's fine if you just want to know what a Rosetta course is like.",education,112
3.0 out of 5 stars,Can Still Be Improved,"The teaching method needs improvement. For example: they should give the meaning of each word first before they use it in phrases or sentences. Or, they should show the conjugation of verbs first before using them in phrases/sentences. It's easier to remember if there were a list of the words with their corresponding translation.",education,54
4.0 out of 5 stars,Great app to learn another language,"Rosetta Stone has always been the best way to learn another language, and now with this app, it brings the experience to mobile devices. The app was easy to get started with. It allowed me to first start learning the spanish word hola (hi) and then I was prompted to go to complete course mode in the spanish (latin america section). You can of course choose whatever language you would like in the beginning.I didn't like how quickly you have to go with a paid option, but I understand it. I consider that to be the real downside in the app. I love how it associates pictures with the foreign language words. I also liked how I could record my speaking the word into the device, and the device would check my pronunciation  to see how accurate it was. I found some issues sometimes with the app picking up what your saying. You need a good noise free environment, otherwise it will mark what your saying incorrectly.Overall rosetta stone delivers on the promise to teach you the language. It's definitely worth having on your device, especially if your traveling and need to learn the language.",education,195
3.0 out of 5 stars,When you move from one level to the next the ...,When you move from one level to the next the introduce you to words you have never seen before and expect you to simple know how to translate them.  There ought to be some level of teaching prior to translation ect.  yet there is not even an introduction to the words.,education,51
1.0 out of 5 stars,Dishonest advertising,I was about to use this app but read the reviews. I was surprised to learn that it isn't free at all. In fact very expensive if you want the whole course. But they don't say that anywhere in the app description. Just on principle announce I've decided not to encourage this kind of blatant dishonesty.,education,56
2.0 out of 5 stars,not a good app,"If all you want to do is learn a few key words, maybe this app is helpful.  But right off the bat, the app was asking me to translate sentences before it even taught me the words to use.  I like that the activities are varied, but there still needs to be a progression to the learning.",education,57
4.0 out of 5 stars,"Like it, but room for improvement","I like this app for my smart TV a lot but there's room for improvement.  I am not sure if all TED talks are available on the app or just some of them. It would be good to have access to all of them. Sometimes the search feature doesn't work as well as I'd like. I tried searching the title, The Puzzle of Motivation, and it would not pull up, but when I searched the speaker, Dan Pink, it did. I tried searching the title with and without ""the.""  For another TED talk I found on my phone's YouTube app, I couldn't find in the TED app at all. I tried the searching using the title, key words, and the speaker's name. Sometimes when I'm typing in the search bar, it freezes up and goes back to the last screen losing the text I've typed.  I'd also like to have a list of my recently watched videos.",education,157
2.0 out of 5 stars,If I had to pay for it I would be very disappointed. It's just trying to memorize what you've been ...,"It's okay.  If I had to pay for it I would be very disappointed.  It's just trying to memorize what you've been shown.  I don't remember from one time to the next when I try and learn with this program.  I would say that being that it is a free program, it's worth a try.",education,55
1.0 out of 5 stars,Misleading Charges,"My daughter has been enjoying the desktop version of this app. I, too, think it is bogus that you should have to pay every year for what you purchase once on a computer. However, my bad review isn't about that. It's about the fact that when you open the app, it offers for you to BUY all the levels of a language without any disclaimer that you are buying an annual subscription as opposed to the software. It is highly unethical wording considering the impulsive and instant method of payment on a phone or kindle. If you had not checked the website separately from the app, you would have no idea.",education,111
5.0 out of 5 stars,Give me a break,I hate learning languages this does not change the way I feel but it does make it easier this I'm working on my 5th language... So now I asked the question do I really hate learning languages or do I just hate the process of learning languages regardless of how it's taught.,education,52
5.0 out of 5 stars,I will now purchase Rosetta Stone,"I downloaded this app to 'test drive' Rosetta Stone. I enjoyed it enough th at I will now shell out $500 for the full package.Be aware that the CD or downloaded version of Rosetta Stone comes with a 3 month access to the mobile app; after which, you will have to pay a monthly fee for continued access.",education,58
1.0 out of 5 stars,not worth the extra $$$,"Rosetta is a really good program and it is priced accordingly. The Kindle version works very well , I like it. I have this app as a free trial for one month after purchasing an upgrade to my current version of Spanish for $14..00. No way I will pony up a monthly fee for the convenience of using it on my tablet. It's the same program I've already paid for .  It would be nice to have the option to purchase the Application, but I will not pay for the program content AGAIN. Give us an option for convenience yes, but don't expect me to pay for materials I already own.",education,111
5.0 out of 5 stars,So fun and easy PLZZZZ READ,Its so easy I am learning Latin American Spanish and it so fun u learn so fast and they make sure u say it properly its takes a little bit but that's OK I would say its for like 8 and up I'm 11 and last I now know a bunch of Spanish they have other languages to if u want to do another language they have English to lol! Plz get this if u want to learn another language🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,education,80
1.0 out of 5 stars,Good at first...,"I thought this app was amazing when I first got it. I was getting my Spanish on when one day it froze my kindle fire, couldn't even turn off my kindle, totally unresponsive. Once I was able to fix my frozen screen I shrugged it off as a minor glitch on my acutal tablet. But everytime I tried to use Duolingo after that it froze my kindle. I know it's not my tablet because I can use all the other apps just fine. I don't know what's up with this app but I'm definitely disappointed :(",education,96
5.0 out of 5 stars,Great educational tool,"TED is a great educational tool I use for my English classes at all levels. The great thing about it is the variety of topics for the presentations, which makes it suitable for the students because they can watch only those videos they really enjoy. Another great thing is that due to the fact that many of the presenters are ESL speakers, your students can benefit from different English accents, especially when they are getting ready to take an international standardized test. Highly recommended.",education,84
1.0 out of 5 stars,"Other, better systems out there","I did not find it very effective for learning Spanish.I HATE that the version I bought was on CD...  said it needed an update...  turned itself into a 'cloud' version without asking or giving me any options.  I only did this course on one PC in my home office.  There is absolutely no need to go to the cloud every time I open it, but it does.  I actually unplug my network cable to prevent that.It also automatically started the timed support when I was not in a position to study, so all the support was wasted.I have found much better courses out there that don't force you onto their cloud system.  Also there are some photos that they use that are impossible to understand unless you look them up.I don't recommend and I will NEVER buy another Rosetta Stone product.",education,141
2.0 out of 5 stars,I had heard Duolingo was quite good and those who had rated this app had nothing ...,"I can speak five languages and wanted this app to teach a friend, I had heard Duolingo was quite good and those who had rated this app had nothing but praise. So I was shocked at what I saw. For a start this app was very dictatorial, it uses games to teach, the problem is these games introduce articles of grammar in its question which it has not yet taught you. So in affect you keep getting the question wrong because the new learner has not yet learned what it is asking. secondly It does not teach the usual way of learning basic people introducing each in every day conversation. Instead it dives straight into list of words detached from everyday communication and conversation. Plus it had no repeat slowly or pronunciation guide, it just throws words at you pronounced so fast you don't understand what was said and you can not go back to a question. Don't buy it shop around, there are better ways to learn.",education,168
5.0 out of 5 stars,I wish you offered Scottish Gaelic!,"I love how this is set up.  It really throws you right in from the start.  There is no English at all (at least not that I have found yet).  It would be nice to have some instruction as to what they're asking you to do in the program.  ie:  ""I'm going to say a word, match it to the picture it corresponds with.""  -So it takes me a second on each part of the lesson, not only to learn the Irish words, but also learn what Rosetta Stone is asking you to do on each page.  Maybe this is part of the lesson?Wish you offered Scottish Gaelic.  I'm learning Irish because you don't have Scottish, which are not at all similar to each other like one would think.",education,129
1.0 out of 5 stars,Hounded!,"Before I even got a chance to review this product I was hounded by the company through emails to upgrade and buy. This insatiable desire for me to buy the full version was outweighed by the constant emails that kept coming by fours; each day it occurred. Hence, I cancelled the free trial.",education,53
2.0 out of 5 stars,Doesn't make sense,I am trying to learn Japanese but when I found this app It just didn't make any sense on how to use it because it doesn't actually tell you what the English word is and just has pictures and sometimes you just can't guess what it would be...I'm just not sure this is the app for me...I'm pretty disappointed because of all the other great reviews and it seems I'm the only one.Disappointed because it did look pretty helpful :(,education,80
3.0 out of 5 stars,A little difficult to follow,"Easy to use, but to me the lessons jumped around too much of the particular lesson you are learning. It goes from translation to a new set of words etc instead of being linear. Example, learning numbers goes from say 3 to ten to seven to two to one to eight etc. That's on the first part of lesson one. I might have better luck learning mandarin from my 9 yr old daughter who is native chinese.I would give it a higher rating if it was more concise.",education,88
2.0 out of 5 stars,Terrible voice recognition software - process for language learning is for babys,"I've only used the mobile app and it is not good. The voice recognition is terrible, either not picking up the voice or not registering properly. The overall design of the mobile app is also very crude. On the concept, I found the language learning part very 'baby' like, ie not providing much context (at all) assuming you learn by repeating sentences or words. That is a matter of preference what model you prefer for language learning. My biggest issue is the lack of proper design thinking and software quality for the mobile app",education,94
5.0 out of 5 stars,Feed your mind!,"I love TED TV. I am not much of a TV watcher, but I will watch the TED talks. The ones I have watched were very good and did not last too long. A much better way to spend time instead of any of the prime time dribble on regular TV.",education,51
5.0 out of 5 stars,The greatest presentations about any topic but Amazon apps buffers a lot,I love TED and there is virtually always a topic discussed by an expert that will not appeals to you. The only problem is that the Fire TV and Fire Stick apps buffer a lot. By contrast the app inside Kodi (formely XBMC) on the same Fire TV and Stick works flawlessly.There has been problems before with the Amazon apps for Netflix and others so I hope they fine tune TED too.,education,72
3.0 out of 5 stars,ok but lacking any theory,"I am visiting Italy this fall and thought I would try and learn a lttle  bit of the lanuage. The aps good for a free app. It loaded and works well on an original Kindle Fire. The lessons are basic with,  but no theory about usage is given until you make an error. Then you need to remember the error vs being taught the correct use from the beginning. Otherwise a good basic free introduction to a language. Also it sends yours a daily reminder to keep you interested.",education,89
1.0 out of 5 stars,Would be great if app worked,"I have DL on IOS and it is great! Unfortunately, that did not translate over to Fire OS. Upon signing in and selecting a language, it logs me off and returns to sign in screen. Looking through reviews, I am not the only one to encounter this. Running Fire OS 5.6.1.0 as of 5/23/18 Developer please fix! Love the app on IOS but would like to be able to use on Fire to save my phone battery!",education,77
4.0 out of 5 stars,I don't think so!,"I absolutely love this app, I have used it so much!! I have learnt Arabic, Italian, French, German, Spanish and I am currently learning Russian! Thank so this app I now know over seven languages! Definitely recommended by me. However It can get boring after a while! But otherwise, it is perfect",education,52
1.0 out of 5 stars,"No Japanese, not ever language is available.","I downloaded this because it came up when I searched ""learn Japanese"". A friend of mine is able to use the mobile version of this to learn Japanese so I thought my kindle could do the same. Unfortunately there was no Japanese to be learned on this app. (at the time of reviewing this 8/16/2017) It's a good thing I didn't spend any money on this because I deleted it less than five minutes after getting it.I am willing to change my rating if the app company adds a description as to what languages can be learned so people know before downloading.",education,102
1.0 out of 5 stars,No longer supported.,"Sadly Duolingo haven't updated this app for over two years and it has now stopped working on my Kindle Fire, I can no longer log in. My 9 year son had made excellent progress with his Italian thanks to the app, now he's devastated because he can't access it any more. He can't have the Google Play version because Amazon doesn't allow Google apps to run on child profiles, so he'll just have to stop practising. Not sure why this version is still being made available for download when it's no longer supported. Update it or remove it!",education,98
5.0 out of 5 stars,Rosetta Stone is my favorite. This is my first experience with an ancient ...,"Have RS 5 modern languages and just added Latin.  Although I use other language learning systems, as well, Rosetta Stone is my favorite.  This is my first experience with an ancient language.  Have not started it yet, but expect it to be fun.  Had 2 years of Latin in high school many years ago and, honestly, my little bit of Latin helps me greatly not only with my English grammar and usage but also with my French, Spanish, and Italian.  Even German and Dutch have some Latin cognates.",education,88
5.0 out of 5 stars,Good supplement to online learning,"I recently enrolled in a Rosetta Stone Total-e course and wanted to be able to complete lessons without being tied to the computer.  This app works seamlessly on my Kindle Fire HD.  The built in microphone works great with the voice recognition portion of the lessons, and movement through the lessons is the same as it is on your online course.  While you get access to your lessons with this app, it doesn't contain the other online only features of your lessons (games, chat, etc.).  One still has to use their computer or laptop for these. Overall, I am very pleased with this app as a supplement to my online learning. Bonne chance!",education,113
3.0 out of 5 stars,Very good app but...,"This is a very very good app, but there is an issue which drives me crazy. In the tests it is too specific in the answers required. For example it asks for a translation of ""o quarto"" which to any Portuguese person is ""the bedroom"" but the test fails you because it was looking for ""the room""Then is asks for ""the youth"" easy I thought ""o jovem"" and was failed for not putting the plural. The youth is plural or singular in English.This app is very good but it is ruined by its being too pedantic.",education,96
3.0 out of 5 stars,"Fun, but frustrating!!","Now don't get me wrong. This is a great teaching app, and most of the time I don't have a problem with it. It does however have little annoyances that need to be addressed. Some of the translators for the 'speak and type what you heard' entries speak HORRIBLY, and are very difficult to hear even when you hit the 'Slowly' button and the speaker breaks down the sentence. I took 2 years of German in high school and just WASHED OUT of Duolingo's German placement test, largely due to the fact that the translator sounds like she has gum in her mouth!!!! 😈😈😈😈 Additionally, I found the Irish language translator it too quiet to hear even with my Kindle at maximum volume!! Please address these issues.",education,127
5.0 out of 5 stars,WAKE UP!,"If you are in love with the new EDUCATIONAL Renaissance.(BE ADVISED: Yes there is a renaissance going on right now! if you did not know that WAKE UP! There are free courses every where! Even YALE has open courses now. There is nothing outside of your reach. EXPAND YOUR MIND!) Ok, enough preaching, just check out TED TALKS! Created for the OPEN MIND that is full of curiosity about everything from sexuality to the FABRIC OF THE UNIVERSE with a SHORT  ity-bity ATTENTION SPAN! You'll love it and you will learn so much in a few little minutes. Plus you can down load it on your kindle or Fire phone For Free! I highly recommend this app.",education,117
